Sr.No,Name,Brand,UnitPrice,DicountPrice,Category,SubCategory,Quantity
1,Premia Badam (Almonds),Premia,451,329,Grocery,Grocery/Dry Fruits,500 gm
2,Premia Badam (Almonds),Premia,109,85,Grocery,Grocery/Dry Fruits,100 gm
3,Premia Badam (Almonds),Premia,202,175,Grocery,Grocery/Dry Fruits,200 gm
4,Nutraj California Almonds (Badam),Nutraj,599,349,Grocery,Dry Fruits,500 gm
5,Nutraj California Almonds (Badam),Nutraj,1549,659,Grocery,Dry Fruits,1 kg
6,Chana Dal,Local Brand,49,42,Grocery,Dals,500 gm
7,Chana Dal,Local Brand,96,80,Grocery,Dals,1 kg
8,Rajma White,Local Brand,112,102,Grocery,Pulses,500 gm
9,Rajma Kashmiri Red,Local Brand,101,81,Grocery,Pulses,500 gm
10,Premia Mamra Badam,Premia,634,488,Grocery,Dry Fruits,200 gm
11,Tata Sampann Chana Dal,Tata,64,49,Grocery,Dals,500 gm
12,Tata Sampann Chana Dal,Tata,125,112,Grocery,Dals,1 kg
13,Rajma Red Small,Local Brand,61,56,Grocery,Pulses,500 gm
14,Nutraj Almond,Nutraj,299,175,Grocery,Dry Fruits,200 gm
15,Satyam Rajma Pink,Satyam,149,138,Grocery,Pulses,500 gm
16,KMK Almond Mamra (Badam),KMK,750,575,Grocery,Dry Fruits,200 gm
17,DMart Healthy Choice Unpolished Chana Dal,DMart Healthy Choice,117,94,Grocery,Dals,1 kg
18,Satyam Rajma Sharmili,Satyam,129,119,Grocery,Pulses,500 gm
19,Satyam Chana Dal,Satyam,77,71,Grocery,Dals,500 gm
20,Tata Sampann 100% Organic Unpolished Chana Dal,Tata Sampann,190,171,Grocery,Dals,1 kg
21,KMK Almond American (Badam),Kanji Manji Kothari,258,216,Grocery,Dry Fruits,200 gm
22,Tata Sampann Organic Unpolished Rajma Red,Tata Sampann,142,127,Grocery,Pulses,500 gm
23,DMart Premia Almonds Salted,Premia,200,119,Grocery,Grocery/Dry Fruits,100 gm
24,ProV Select California Almonds,ProV,749,374,Grocery,Dry Fruits,500 gm
25,ProV Select California Independence,ProV,1349,600,Grocery,Dry Fruits,1 kg
26,Moong Dal,Local Brand,71,60,Grocery,Dals,500 gm
27,Moong Dal,Local Brand,139,124,Grocery,Dals,1 kg
28,Nutraj Cashews,Nutraj,699,399,Grocery,Dry Fruits,500 gm
29,Nutraj Cashews,Nutraj,299,199,Grocery,Dry Fruits,200 gm
30,Premia Regular Kaju (Cashews) - 320,Premia,121,99,Grocery,Grocery/Dry Fruits,100 gm
31,Premia Regular Kaju (Cashews) - 320,Premia,257,198,Grocery,Grocery/Dry Fruits,200 gm
32,Premia Regular Kaju (Cashews) - 320,Premia,595,460,Grocery,Grocery/Dry Fruits,500 gm
33,Moong Dal Chilti,Local Brand,70,58,Grocery,Dals,500 gm
34,Moong Dal Chilti,Local Brand,140,112,Grocery,Dals,1 kg
35,Tata Sampann Moong Dal,Tata,175,148,Grocery,Dals,1 kg
36,Tata Sampann Moong Dal,Tata,88,79,Grocery,Dals,500 gm
37,Kalbavi Cashews (Kaju),Kalbavi,650,459,Grocery,Dry Fruits,500 gm
38,Premia Kaju Tukda (Cashews),Premia,129,99,Grocery,Grocery/Dry Fruits,100 gm
39,Premia Kaju Tukda (Cashews),Premia,251,195,Grocery,Grocery/Dry Fruits,200 gm
40,Premia Kaju Tukda (Cashews),Premia,594,468,Grocery,Grocery/Dry Fruits,500 gm
41,Chowli Big,Local Brand,64,52,Grocery,Pulses,500 gm
42,Chowli Premium,Local Brand,82,75,Grocery,Pulses,500 gm
43,Premia Kaju,Premia,552,409,Grocery,Dry Fruits,500 gm
44,Chowli Small,Local Brand,62,52,Grocery,Pulses,500 gm
45,Premia Cashew Broken,Premia,537,423,Grocery,Dry Fruits,500 gm
46,DMart Healthy Choice Unpolished Moong Dal,DMart Healthy Choice,160,140,Grocery,Dals,1 kg
47,Premia Kaju Special (Cashews),Premia,140,116,Grocery,Grocery/Dry Fruits,100 gm
48,Premia Kaju Special (Cashews),Premia,278,220,Grocery,Grocery/Dry Fruits,200 gm
49,Premia Kaju Special (Cashews),Premia,646,485,Grocery,Grocery/Dry Fruits,500 gm
50,Kokan Gem Goa Cashew Classic (Kaju),Kokan Gem,650,471,Grocery,Dry Fruits,500 gm
51,Kokan Gem Goa Cashew Premium (Kaju),Kokan Gem,750,579,Grocery,Dry Fruits,500 gm
52,Tata Sampann Moong Chilka,TATA,84,75,Grocery,Dals,500 gm
53,Chowli Red,Local Brand,77,67,Grocery,Pulses,500 gm
54,Satyam Moong Dal,Satyam,109,101,Grocery,Dals,500 gm
55,Tata Sampann 100% Organic Unpolished Moong Dal,Tata Sampann,275,246,Grocery,Dals,1 kg
56,KMK Cashew Nut (Kaju),KMK,325,199,Grocery,Dry Fruits,200 gm
57,Premia Premium Kaju (Cashews) - 210,Premia,168,132,Grocery,Grocery/Dry Fruits,100 gm
58,Premia Premium Kaju (Cashews) - 210,Premia,341,262,Grocery,Grocery/Dry Fruits,200 gm
59,Premia Premium Kaju (Cashews) - 210,Premia,738,566,Grocery,Grocery/Dry Fruits,500 gm
60,24 Mantra Organic Moong Dal,24 Mantra Organic,135,110,Grocery,Dals,500 gm
61,Satyam Moong Chilti,Satyam,100,93,Grocery,Dals,500 gm
62,DMart Premia Cashews Salted,Premia,215,129,Grocery,Grocery/Dry Fruits,100 gm
63,Kokan Gem Goa Cashews Tukda,Kokan Gem,550,479,Grocery,Dry Fruits,500 gm
64,Satyam Chowla,Satyam,126,117,Grocery,Pulses,500 gm
65,Nutraj Broken Cashew,Nutraj,499,399,Grocery,Dry Fruits,400 gm
66,Organic Tattva Moong Dal Whole,Organic Tattva,125,90,Grocery,Dals,500 gm
67,DMart Premia Cashews Black Pepper,Premia,215,129,Grocery,Grocery/Dry Fruits,100 gm
68,ProV Select Cashews,ProV,849,424,Grocery,Dry Fruits,500 gm
69,Tur Dal Latur,Local Brand,78,63,Grocery,Dals,500 gm
70,Tur Dal Latur,Local Brand,157,131,Grocery,Dals,1 kg
71,Tata Sampann Toor Dal,TATA,89,80,Grocery,Dals,500 gm
72,Tata Sampann Toor Dal,TATA,184,129,Grocery,Dals,1 kg
73,Tur Dal Premium Gujarat,Local Brand,88,76,Grocery,Dals,500 gm
74,Tur Dal Premium Gujarat,Local Brand,180,142,Grocery,Dals,1 kg
75,Premia Pista Salty (Pistachio),Premia,184,145,Grocery,Grocery/Dry Fruits,100 gm
76,Premia Pista Salty (Pistachio),Premia,380,292,Grocery,Grocery/Dry Fruits,200 gm
77,DMart Healthy Choice Unpolished Toor Dal,DMart Healthy Choice,184,148,Grocery,Dals,1 kg
78,Premia Pista Plain (Pistachios),Premia,334,235,Grocery,Grocery/Dry Fruits,100 gm
79,Tata Sampann 100% Organic Unpolished Toor Dal,Tata Sampann,260,234,Grocery,Dals,1 kg
80,Nutraj Iranian Pistachios (Pista),Nutraj,449,249,Grocery,Dry Fruits,200 gm
81,Nutraj Premium California Pistachios (Pista),Nutraj,379,239,Grocery,Dry Fruits,200 gm
82,Premia Soyawadi,Premia,42,33,Grocery,Pulses,200 gm
83,Satyam Tur (Toor) Dal,Satyam,109,101,Grocery,Dals,500 gm
84,Nutrela Soya Mini Chunks,Nutrela,60,52,Grocery,Pulses,200 gm
85,Organic Tattva Arhar Tur Dal,Organic Tattva,270,135,Grocery,Dals,1 kg
86,Toor Dal Plain,Local Brand,750,585,Grocery,Dals,5 kg
87,Nutrela Soya Chunks,Nutrela,60,52,Grocery,Pulses,200 gm
88,Toor Dal Oily,Local Brand,750,588,Grocery,Dals,5 kg
89,24 Mantra Organic Tur Dal,24 Mantra,260,215,Grocery,Dals,1 kg
90,Premia Mini Soya Chunks,Premia,45,38,Grocery,Pulses,200 gm
91,Nutrela Soya Granules,Nutrela,60,50,Grocery,Pulses,200 gm
92,KMK Pista Magaz,KMK,540,375,Grocery,Dry Fruits,200 gm
93,Satyam Toor Dal Oily,Satyam,109,101,Grocery,Dals,500 gm
94,Carnival Classic Pista Magaz,Carnival,700,560,Grocery,Dry Fruits,250 gm
95,Premia Soyabean,Premia,94,79,Grocery,Pulses,500 gm
96,Carnival Classic California Pistachios,Carnival,460,310,Grocery,Dry Fruits,250 gm
97,KMK Pista Salted Irani (Pistachios),Kanji Manji Kothari,319,237,Grocery,Dry Fruits,200 gm
98,Tuwar Whole,Local Brand,70,53,Grocery,Dals,500 gm
99,Saffola Mealmaker Soya Chunks,Saffola,60,35,Grocery,Pulses,200 gm
100,Udid (Urad) Dal,Local Brand,88,73,Grocery,Dals,500 gm
101,Udid (Urad) Dal,Local Brand,173,140,Grocery,Dals,1 kg
102,Desi Kabuli Chana,Local Brand,95,76,Grocery,Pulses,500 gm
103,Desi Kabuli Chana,Local Brand,190,159,Grocery,Pulses,1 kg
104,Udid,Local Brand,88,69,Grocery,Dals,500 gm
105,Date Crown Fard (Khajur),Crown,234,165,Grocery,Grocery/Dry Fruits,500 gm
106,Tata Sampann Urad Dal,TATA,90,75,Grocery,Dals,500 gm
107,Tata Sampann Urad Dal,TATA,179,152,Grocery,Dals,1 kg
108,Emperor Dates - Deseeded Black Dates (Khajur),Emperor,145,130,Grocery,Grocery/Dry Fruits,500 gm
109,Satyam Kabuli Chana,Satyam,129,114,Grocery,Pulses,500 gm
110,Udid (Urad) Dal Chilti,Local Brand,81,67,Grocery,Dals,500 gm
111,Falcon UAE Dates Seedless (Khajur),Falcon,190,158,Grocery,Grocery/Dry Fruits,500 gm
112,Premia Red Dried Dates (Kharik),Premia,51,32,Grocery,Grocery/Dry Fruits,100 gm
113,Premia Red Dried Dates (Kharik),Premia,97,65,Grocery,Grocery/Dry Fruits,200 gm
114,Premia Red Dried Dates (Kharik),Premia,212,165,Grocery,Grocery/Dry Fruits,500 gm
115,Emperor Royal Peacock Seeded Dates (Khajur),Emperor,125,93,Grocery,Grocery/Dry Fruits,500 gm
116,Emperor Dates Iranian Muzafati,Emperor,170,133,Grocery,Dry Fruits,400 gm
117,24 Mantra Organic Kabuli Chana,24 Mantra Organic,145,125,Grocery,Pulses,500 gm
118,Date Crown Bumaan Dates,Crown,140,95,Grocery,Grocery/Dry Fruits,500 gm
119,Satyam Udid (Urad) Dal,Satyam,123,114,Grocery,Dals,500 gm
120,Apis Royal Zahidi Premium Dates,Apis,125,90,Grocery,Dry Fruits,500 gm
121,King Solomon Medjoul Natural Dates,King Solomon,990,750,Grocery,Dry Fruits,500 gm
122,Premia Black Dried Dates (Kharik),Premia,81,63,Grocery,Grocery/Dry Fruits,200 gm
123,Falcon Safawi Dates,Falcon,500,350,Grocery,Dry Fruits,500 gm
124,Tata Sampann Organic Unpolished Kabuli Chana,Tata Sampann,147,125,Grocery,Pulses,500 gm
125,Organic Tattva Kabuli Chana,Organic Tattva,145,105,Grocery,Pulses,500 gm
126,Nutraj Dry Dates (Chuara-Khareek),Nutraj,249,159,Grocery,Dry Fruits,500 gm
127,Falcon Aqaba Dates,Falcon,135,105,Grocery,Grocery/Dry Fruits,500 gm
128,King Solomon Oriental Dates,King Solomon,249,124,Grocery,Dry Fruits,250 gm
129,Royal Delight Finest Oman Dates,Royal Delight,249,195,Grocery,Dry Fruits,400 gm
130,Shamim Iranian Wet Dates,Shamim,200,128,Grocery,Dry Fruits,400 gm
131,Emperor Premium Dates Zahidi,Local Brand,150,113,Grocery,Dry Fruits,500 gm
132,Tata Sampann Organic Unpolished Urad Dal,Tata Sampann,142,115,Grocery,Dals,500 gm
133,Falcon UAE Dates Seeded,Falcon,150,119,Grocery,Grocery/Dry Fruits,500 gm
134,Organic Tattva Urad Dal White Split,Organic Tattva,145,97,Grocery,Dals,500 gm
135,Azmah Dates,Candor,625,464,Grocery,Dry Fruits,500 gm
136,Apis Premium Seeded Dates,Local Brand,120,60,Grocery,Dry Fruits,500 gm
137,Royal Delight Finest Ajwa Dates,Royal Delight,549,390,Grocery,Dry Fruits,250 gm
138,Organic Tattva Urad Dal Whole White,Organic Tattva,145,99,Grocery,Dals,500 gm
139,Royal Delight Finest Mabroom Dates,Royal Delight,425,280,Grocery,Dry Fruits,250 gm
140,Royal Delight Finest Safavi Dates,Royal Delight,349,235,Grocery,Dry Fruits,250 gm
141,Masoor Dal,Local Brand,68,58,Grocery,Dals,500 gm
142,Masoor Dal,Local Brand,133,113,Grocery,Dals,1 kg
